Komentar,Nama Pengguna,Rating,Tanggal,Nama Aplikasi,Sentimen
"game yang sangat powercreep, karakter lama tidak dapat bersaing dengan karakter baru. tidak ada tombol skip untuk cerita utama ataupun cerita sampingan sehingga menghabiskan banyak waktu untuk menyelesaikan game ini. Hal ini membuat pengalaman saya sebagai pengguna dalam bermain game ini (Honkai: Star Rail) menjadi kurang seru/menarik dan waktu yang terbuang sia-sia hanya mendengar percakapan yapping di dalam misi utama/sampingan.",Andi Bayu,5,2025-04-10 22:11:53,Honkai Star Rail,Positif
"game seru banget! gameplay nya seru,yang paling aku suka akhir² ini saya selalu dapat B5 di pity 10-50 dan selalu menang rate off",Azka kenzie Satria,5,2025-04-10 22:10:13,Honkai Star Rail,Positif
"coba kedepannya konten end game seperti MoC dikasih pilihan buffnya seperti PF dan AS biar tidak terkesan ""maksa"" player buat gacha char baru dah cmn sgitu aja sih keluhan saya selebihnya dah bagus",Nu'man Abdul Malik,5,2025-04-10 22:08:44,Honkai Star Rail,Positif
gamee nya baguss,Nova's here,5,2025-04-10 21:28:04,Honkai Star Rail,Positif
MAKASIH HOYO LU SUMPAH BAIK BANGET BANGET SAMA GUA. SEMOGA KEDEPANNYA LEBIH BAIK LAGI KE GUA YA HOYO?,Raihan Ahnaf,5,2025-04-10 20:53:10,Honkai Star Rail,Positif
gw cuma ngebantuin HSR dari orang-orang yang fomo kasih rating bintang 1,Muhammad Wafi Al Fatah,5,2025-04-10 20:23:36,Honkai Star Rail,Positif
game turn base terbaik,LutfiLukmanul Hakim,5,2025-04-10 20:05:46,Honkai Star Rail,Positif
Udah nggak layak disebut game strategi.... dulu awal rilis emang game strategi... sekarang strategi dari mana???,Vkey Cibeng,1,2025-04-10 20:00:31,Honkai Star Rail,Negatif
suka aja sama game nya gak kikir,Aira Hasan,5,2025-04-10 19:52:40,Honkai Star Rail,Positif
"GK bisa login, tolong di fix dong yg ""terlalu sering"" itu",Hendrach_ Dwi,1,2025-04-10 19:27:18,Honkai Star Rail,Negatif
"Powef creep gila gilaan, keliatan banget jualan karakternya, game gimmick-gimmick bisa auto pdhl P2W (Lu gacha lu Win, Lu topup lu Win) + Tamat ini game kalo sampe banyak karakter nanti bisa punya Global Passive (Wajib Gacha) Com On! Mihoyo! Hell nah!",Muhammad Aslam,1,2025-04-10 19:10:04,Honkai Star Rail,Negatif
gama baguss!!!,Fachri Yozaf,5,2025-04-10 19:03:08,Honkai Star Rail,Positif
Game nya bagus World building nya apalagi saya suka turn based game,raga ardiansya,5,2025-04-10 18:50:27,Honkai Star Rail,Positif
"Saya kalah rate off untuk castorice, padahal ini karakter mempunyai global pasif dan bisa untuk lawan powercreep yg ada",Wawan Hermawan,1,2025-04-10 18:48:07,Honkai Star Rail,Negatif
musuh di amphoreus sangat tidak balance,SkylineSX,1,2025-04-10 18:30:11,Honkai Star Rail,Negatif
Norak lu semua yg rating b1(kecuali yg EMG rating dari lama),Ndraaa,5,2025-04-10 18:26:41,Honkai Star Rail,Positif
"bagus bngt grafik, story dan karakternya sayangnya tidak open world kalau open world pasti tambah bagus ni hsr",Hendri G,5,2025-04-10 18:18:53,Honkai Star Rail,Positif
ngebug mulu habis update pas interaksi kada nge cres mulu,lucas subagja,3,2025-04-10 18:17:07,Honkai Star Rail,Netral
Frame parahh 😅🗿,Th 11 Ht 11,1,2025-04-10 18:06:59,Honkai Star Rail,Negatif
NICEEE,Sheva Hafizh,5,2025-04-10 17:56:37,Honkai Star Rail,Positif
masih kikir,Andi Win,1,2025-04-10 17:52:04,Honkai Star Rail,Negatif
Game nya Seru moga Ada Fitur ngehamilin,Ren rein,5,2025-04-10 17:46:26,Honkai Star Rail,Positif
"Gamenya bagus aku main dari awal sampai sekarang,tapi sekarang mulai bosan karena event sedikit dan gitu gitu aja tidak ada perubahan sama sekali, dan lama kelamaan musuh susah dengan perbedaan besar pada char sekarang dengan char dulu jadi harus gacha char baru atau lebih tepatnya akan mengarah ke game P2P(pay to play)",GliArif GliArif,5,2025-04-10 17:32:02,Honkai Star Rail,Positif
selamat ulang tahun HSR 🗣️🔥 2 years anniversary,Andi Nesia,5,2025-04-10 17:29:44,Honkai Star Rail,Positif
tolong untuk quest warna biru dialog nyaa jangan kepanjangan udahh puaaaaaanjaang hadiah nya ga setimpal lagi heh malah bagus Klo ada fitur skip,FANADA GAMING,5,2025-04-10 17:29:17,Honkai Star Rail,Positif
baru pertama kali gacha langsung dapet ampas.,Reihan :v,1,2025-04-10 17:25:27,Honkai Star Rail,Negatif
"Apasih hoyo pity gw merah mulu, game adeklu selalu ijo sama abangmu ijo masa cuman lu 80 keatas mulu",Sayonara Gt,1,2025-04-10 17:18:47,Honkai Star Rail,Negatif
"Game baik, baik banget deh, jadi cinta banget deh sama hoyo, love u hoyo, cinta sekali dengan hoyo, ini gamenya bagus banget, kalian bisa langsung download guys, ini game nya bagus banget, keren banget!!! Btw makasih ya hoyo, aku menang rate off double Castorice hehe.",Nisel Kiki,5,2025-04-10 17:18:12,Honkai Star Rail,Positif
"player dongo, game bansos ko di rating rendah. Nolep dirawat",Daffa Afif,5,2025-04-10 17:08:50,Honkai Star Rail,Positif
Dev baik minus power creep wkwkw,Muhammad Faiq,5,2025-04-10 17:02:13,Honkai Star Rail,Positif
"Tak peduli kata orang, menurut gua storynya absolute cinema. Sejauh ini game hoyo favorite gweh",Syafiq Ghassan,5,2025-04-10 16:54:22,Honkai Star Rail,Positif
worth to play,Farel Azzikri,5,2025-04-10 16:52:03,Honkai Star Rail,Positif
Bagus banyak bansos,Vead Jbh,5,2025-04-10 16:49:29,Honkai Star Rail,Positif
"orang pada komplain kebanyakan black screen pas quest, sekarang udh diganti noh jdi white screen.🤣",Alifia Rahayu,4,2025-04-10 16:44:13,Honkai Star Rail,Positif
"Love the story, Character PEAK!!",Hadad,5,2025-04-10 16:40:30,Honkai Star Rail,Positif
nya,R. Naufal Favian,5,2025-04-10 16:33:06,Honkai Star Rail,Positif
game nya sangat bagus dan cocok untuk f2p walaupun kurang banyak event nya,Luca Esposito,5,2025-04-10 16:32:21,Honkai Star Rail,Positif
game bagus yang dirusak pemain karbitan,Galang Erawan,5,2025-04-10 16:30:29,Honkai Star Rail,Positif
good job hoyoverse,Imm,5,2025-04-10 16:28:50,Honkai Star Rail,Positif
Mantap gv lumayan berguna,Muhammad Dimas,5,2025-04-10 16:25:59,Honkai Star Rail,Positif
Bagus banget castorice 😍😍😍 MY ISTRI 🥰🥰🥰,M Nurul Fazri,5,2025-04-10 16:18:33,Honkai Star Rail,Positif
"FIXXX GAME BAIK, DEVELOPER PENDENGAR, PEMBAGIAN BANSOS BANYAK, ANTI NGEBUG GAME NYA, TOP UP DIKASI BANSOS BONUS, EVENT BANYAK MELIMPAH, ENGGA PELIT, DAWEI BAIK, DAWEI ENGGA JAHAT, BANSOS ANIVV TIDAK PELITT AAAAHHHHH",Zura Lathel,5,2025-04-10 16:05:56,Honkai Star Rail,Positif
hbd gem baik,Rafli Marpaung,5,2025-04-10 15:59:29,Honkai Star Rail,Positif
-1 fitur skip story 🥲,Robby Firman,4,2025-04-10 15:55:10,Honkai Star Rail,Positif
update atau login saja susah minta ampun,langit,1,2025-04-10 15:51:13,Honkai Star Rail,Negatif
kurangi hard pity,Budi Cahyono,5,2025-04-10 15:51:12,Honkai Star Rail,Positif
the best game I've ever play,marcel satya,5,2025-04-10 15:47:13,Honkai Star Rail,Positif
good gamee,Dhafa alhilal Hilal,5,2025-04-10 15:41:00,Honkai Star Rail,Positif
"this is a great game , why your skill issues made your review become 1 star . learn this game . there are a lot great youtuber out there . you can learn from them . stop crying since your skill issue ...",Wae Sojiro,5,2025-04-10 15:35:21,Honkai Star Rail,Positif
plzzz gimme acheron on my rate off 😭😭😭,selenophile zee,5,2025-04-10 15:34:10,Honkai Star Rail,Positif
mantap dikasi akun hoki Ama hoyovers,See? ZRG,5,2025-04-10 15:31:57,Honkai Star Rail,Positif
"dapet sih sekalian lc nya cmn kebanyakan yapping storynya, kurang banget di action bikin ngantuk.",L Athaaa,3,2025-04-10 15:16:08,Honkai Star Rail,Netral
"walah nih akun saya kek mana yah kok tiba"" g ad hilang gitu saja saya udh cpk"" loh selsaikan misi story lahhh woyyyy balikannya gimanaa",Ray GomennNasy.,1,2025-04-10 15:08:45,Honkai Star Rail,Negatif
mantap,SALSABILA HASNA SAPUTRI,5,2025-04-10 15:05:35,Honkai Star Rail,Positif
-powercreep dimana mana -belum rilis character 4* baru sejak September 2024(2.5) -drama global passive. setidaknya bansos lancar.,naila luthfiah,4,2025-04-10 15:03:20,Honkai Star Rail,Positif
"Kupikir pada update-an kedepannya bisa lebih memperbanyak visual cut scene dibandingkan dialog yang sangat banyak, kadang itu memang penting tapi sangat bosan 😕 terutama pada update story Amphoreus, terlalu banyak dialog dan puzzle yang agak mengganggu feeling buat main story nya sendiri, ku harap update-an selanjutnya lebih memperbanyak visual cut scene nya. Terimakasih Permasalahan GLOBAL PASSIVE gue gak suka, sekian.",Xavier Wyman,5,2025-04-10 15:01:03,Honkai Star Rail,Positif
"karena sekarang karakter gw dah kuat, game ini akhirnya jadi gampang. terimakasih hoyo👍👍👍",Aliffian Rizki,5,2025-04-10 14:51:27,Honkai Star Rail,Positif
"Mantap HSR, gw kasih rating kasih b5 karna udh baik kasih akun gw 'CASTORICE ', semoga kedepannya semakin banyak bansos dengan stellar jade yg sangat melimpah.",Yuvell Rawrr,5,2025-04-10 14:43:45,Honkai Star Rail,Positif
"anniversary yang bagus dan banyak bansos,kenak power creep udah hal biasa yang penting sabar.",rizky Tri pamungkas,5,2025-04-10 14:41:15,Honkai Star Rail,Positif
"Game nya seru, banyakin lagi bansos nya🙏",Raff,5,2025-04-10 14:33:29,Honkai Star Rail,Positif
"udh lah main cuma buat chill aja, gapeduli ama GP dan PowerCreep gila",Khairul,5,2025-04-10 14:26:49,Honkai Star Rail,Positif
i love this game,Nafilia,5,2025-04-10 14:23:10,Honkai Star Rail,Positif
"game nya bagus, ntah dari segi desain karakter ataupun yang lainya",Rosyad Khoirul M,5,2025-04-10 14:21:46,Honkai Star Rail,Positif
"gua sempat berpikir awal mula char 5* op semenjak rilis Acheron kerena mengabaikan weakness musuh sudah op menurut ku pengubah meta gameplay hsr, sekarang lo rilis char yg ada global pasif tambah sulit lagi ini game bagi player casual yg cuma gacha char yg disuka tapi pada akhirnya tidak ngangkat di end game this not FUN, btw char 4* new mana sdh di hapus dari project kh 5* mulu yg keluar :v, lupa ya ada char 4* sebagai alternatif char 5*. sekian dari saya Terima kasih. ❤",Renaldi Fauzi A,3,2025-04-10 14:21:05,Honkai Star Rail,Netral
game terkeren yang pernah ada yang rating jelek cuman org fomo skil issue sih,Kisuki Ozora,5,2025-04-10 14:08:18,Honkai Star Rail,Positif
thanks bansosnya🙏🙏 Joss gandozz...,Rill tung!!,5,2025-04-10 13:56:39,Honkai Star Rail,Positif
"gw tau hsr penuh dgn powercreep,story yapping,puzzle.but man,this game changed my life,gw awalny bahkan g tau hsr ada,gw cuman tw meme kuru2,tp semenjak tw herta dr hsr,dan setelah tau hsr turn base,gw main.dan man,gw ketagihan,ini game muncul pas gw baru2 mau masuk kelas 9,masa2 pas gw merasa sendiri bgt di sklh.tp berkat hsr gw jadi g peduli tentang itu,gw jg kenal byk org baik dari hsr.walaupun byk yg bikin gw kesel,dan gw jelas pernah bosen.tp hsr tetep bakal di hati gw,thank you,hsr❤️",Raditya As,5,2025-04-10 13:49:22,Honkai Star Rail,Positif
game nya asik plus dpt waifu baru😁,dika peler,5,2025-04-10 13:47:42,Honkai Star Rail,Positif
Game yang bagus,Yhuda pratama,5,2025-04-10 13:27:28,Honkai Star Rail,Positif
game terbaik untuk saya,Afif Setyo,5,2025-04-10 13:26:20,Honkai Star Rail,Positif
Hooh lah tidak ada masalah bagi aku,Septri,5,2025-04-10 13:14:32,Honkai Star Rail,Positif
penyakit power creep Gila,Sa Zi,1,2025-04-10 13:12:02,Honkai Star Rail,Negatif
thank you for the game,Ade Firmansyah,5,2025-04-10 13:11:54,Honkai Star Rail,Positif
"Gamenya bagus dan lancar, namun saat saya ingin main, tiba tiba terjadi kesalahan terus 101_3...",Fedro Vinsky Alda,4,2025-04-10 13:11:13,Honkai Star Rail,Positif
"pengalaman 1 tahun lebih gw, gw f2p, dan gw minor ...game baguss, cocok bwt orang mager dan (sok) sibuk, ada auto battle farming jadi mudah, story menarik dan mendalam, grafik ok, tombol terasa ringan, nguli SJ sangat mudah dan santai,ulti pang-alusna,konten game lumayanlahh... META is netral, enjoy the game, this is my opinion, and anti-FOMO well. jangan terlalu serius, karena bkn olimpiade... seriuslah dengan pendidikanmu, tanpa pendidikan anda mati mengenaskan",Shafira dinda qaireen,5,2025-04-10 13:10:56,Honkai Star Rail,Positif
seruuu bangettt gamee nyaa,Raf Tuazon,5,2025-04-10 13:07:46,Honkai Star Rail,Positif
Nice game😋,Mandala Reizan,5,2025-04-10 13:00:33,Honkai Star Rail,Positif
"netral aj sih, tp klo soal relic beda cerita emng gada hubungan nya sih, tp entah knp klo ngeup relic ko dpt ampas trs yh... jdi sebenarnya relicnya bgs entah knp agak kurang dmgnya mungkin kena powercreep jg mkny dmgnya ga maksimal :)",Nn_nan.25 12-09,3,2025-04-10 12:56:49,Honkai Star Rail,Netral
Bagus,Rainka Shikinari,5,2025-04-10 12:55:35,Honkai Star Rail,Positif
i love castorice 🥰🥰😍😍,Antoni G,5,2025-04-10 12:55:19,Honkai Star Rail,Positif
mengapa saya loading sangat lama pada saat ingin ke dalam game sampai 30 menit lebih,Rayfan Dzakiariyanto,2,2025-04-10 12:53:29,Honkai Star Rail,Negatif
"klo hard pity kalah rate off, gua balik ganti b1 hehe",Rere Restu,5,2025-04-10 12:53:00,Honkai Star Rail,Positif
Enjoyenment,Alif Rizky Prasetya,5,2025-04-10 12:51:02,Honkai Star Rail,Positif
good game,Rift gaming,5,2025-04-10 12:49:23,Honkai Star Rail,Positif
ayo naikkan kembali rating hsr,Kevin Fadhilah Ramadhan,5,2025-04-10 12:43:10,Honkai Star Rail,Positif
"ayolah hoyo masa akun ini juga bau sih gacha pasti dapetnya di 76 Mulu kalo hoki rate on kalo gak hoki rate of, masa sih cuman akun gw doang yang gak pernah hoki kasih nya jangan hard pity Mulu napa",Greed,1,2025-04-10 12:32:34,Honkai Star Rail,Negatif
keren,Orvin Bethan Allison,5,2025-04-10 12:31:14,Honkai Star Rail,Positif
"semoga dihari ultah hsr ini, developer makin baik laki ke kemudian hari",Irfanli,5,2025-04-10 12:27:26,Honkai Star Rail,Positif
gamenya makin jelek mirip muka pler shaoji,Fide,1,2025-04-10 12:25:51,Honkai Star Rail,Negatif
game baikk😁🔥,Eka Dimas,5,2025-04-10 12:21:03,Honkai Star Rail,Positif
game baik,CruderDrab,5,2025-04-10 12:17:58,Honkai Star Rail,Positif
"keren, ceritanya sangat menarik.",Rino Xavier,5,2025-04-10 12:16:50,Honkai Star Rail,Positif
Powercreep ga ngotak hoyo gamau tobat?,Dily Muhamad,5,2025-04-10 12:12:17,Honkai Star Rail,Positif
game nya seru bahkan saya bisa mendapatkan pacar dari game ini mantap,Abdhul Aziz,5,2025-04-10 12:02:47,Honkai Star Rail,Positif
"OMG YASSSS I GOT CASTORICE MY LOVE MY SAVIOUR!! I ALREADY BUILD HER AND OMGG HER ULT SO COOLL!! I LOVE HER DRAGON, POLLUX!! B-But pls remove global passive i beg you hoyo.. and in the next update.. please take Sunday out of his cage bcs I don't have him yet..",nanan4,4,2025-04-10 12:00:42,Honkai Star Rail,Positif
saat log out akun saya progress nya hilang,Azka Razka,1,2025-04-10 11:52:01,Honkai Star Rail,Negatif
"Sudah balance, mencari material untuk upgrade sudah dipermudah serta story yang baguss hanya perlu perbaikan powercreep dan hp inflasi saja",Prastio Romadoni,5,2025-04-10 11:47:18,Honkai Star Rail,Positif
Woilah ini game powercreep nya nguawor banget lah cik. dimohon untuk menurunkan nyawa musuh di end game content nya. terima kasih,Ultimaji,1,2025-04-10 11:39:52,Honkai Star Rail,Negatif
game gacorrrr,Awannn_,5,2025-04-10 11:37:32,Honkai Star Rail,Positif
buy,Reyno Academi,5,2025-04-10 11:36:27,Honkai Star Rail,Positif
"Saya kagum dengan HSR karena bisa memberi Player bonus hadiah-hadiah yang menarik, namun jika dilihat kondisi sekarang, saya rasa bonus tersebut hanya untuk menggacha karakter terbaru saja untuk bisa mengikuti semua konten yang ada didalam game. Lebih baik untuk merilis karakter support untuk karakter lama agar karakter lama bisa bersaing dengan konten mendatang",Atha Yumna,1,2025-04-10 11:36:02,Honkai Star Rail,Negatif
"Komunitas Luar Aneh, Gamenya Bagus👍",Peazy CH,5,2025-04-10 11:33:53,Honkai Star Rail,Positif
Scamm,Handika Ramadhan,1,2025-04-10 11:32:15,Honkai Star Rail,Negatif
Game baik,audry ilyasa,5,2025-04-10 11:23:18,Honkai Star Rail,Positif
gim baik 😁👍 dpt castorice rate off 80 pity + lc sign nya rate off 20 pity,Adi,5,2025-04-10 11:20:27,Honkai Star Rail,Positif
"cerita 3.2 bagus tapi udah kebanyakan kena spoiler ditambah gak ada dialog atau katsin yang benar-benar berkesan tidak seperti di 3.1 , tapi informasi baru yang di ungkapkan cukup menarik dan membuat penasaran lanjutannya.",Terminus,3,2025-04-10 11:20:23,Honkai Star Rail,Netral
game bagus,Afif Udin,5,2025-04-10 11:11:43,Honkai Star Rail,Positif
im just idk why i like to play this game,Fahri MuhammadFahriMaulana,5,2025-04-10 11:11:20,Honkai Star Rail,Positif
Penyakit powercreep gila. 🫨 Tapi untuk bansosnya ketagihan gwe ngerjain misi. 😋😹,Muhammad Afif,5,2025-04-10 11:09:24,Honkai Star Rail,Positif
gw kalah ret op,Nizam x Karbit,1,2025-04-10 11:09:23,Honkai Star Rail,Negatif
kapan aku dapat dobel bintang 5? Dua tahun main nggak pernah dapat double,Iqbal Maulana,5,2025-04-10 10:57:43,Honkai Star Rail,Positif
"developer turunin dong size game ya sekarang udh 28gb malah kayak genshin saja dah plis turunin size game ya ya game ya udh baguss bet maaf nih saya pengen coba ulang akun hehehe kenapa sih kalian jelek² in game ini emang ya buat game gampang hah? pertahankan game ini hoyoverse semoga ratting ya jadi 4,5 amiin",RRQ Pro,5,2025-04-10 10:52:11,Honkai Star Rail,Positif
peak story,Sapi Meki,5,2025-04-10 10:47:54,Honkai Star Rail,Positif
