Komentar,Nama Pengguna,Rating,Tanggal,Nama Aplikasi,Sentimen
Bagus pokonya👍,Abang Abang,5,2024-11-01 08:23:29,InfoBMKG,Positif
Terima kasih,sutar yanto,5,2024-11-01 06:54:55,InfoBMKG,Positif
"Informasi yang diberikan sangat bermanfaat serta selalu terupdate sehingga dapat membantu orang - orang untuk waspada lebih dini sebelum musibah datang, terimakasih sudah menciptakan APK ini, tingkatkan terus APKnya agar lebih baik dan lebih baik lagi kedepannya. Saya terkhusus In Shaa Allah, akan terus membantu update info BMKG melalui status Saya, yang mungkin akan sangat bermanfaat bagi keluarga dan teman2 yang ada dikontak Saya.",Heri Sutrisno,4,2024-11-01 06:30:38,InfoBMKG,Positif
Sangat membantu Sekali,jio ndeso chanel,5,2024-11-01 06:22:32,InfoBMKG,Positif
Baru coba,Noval Gio,4,2024-11-01 06:04:05,InfoBMKG,Positif
Sangat membantu,Syahid Pramboyan,4,2024-11-01 04:57:59,InfoBMKG,Positif
Memantau cuaca jadi lebih mudah dengan aplikasi ini,Riyan Pratama,5,2024-11-01 00:39:01,InfoBMKG,Positif
Good,Djoni Gunata,5,2024-10-31 17:40:23,InfoBMKG,Positif
Updatenya SDH bagus tapi agak telat,Novi Amir,4,2024-10-31 15:00:51,InfoBMKG,Positif
Mantap sangat membantu👍👍,SAGERUDDIN,5,2024-10-31 14:39:38,InfoBMKG,Positif
Sangat membantu dalam menerima info cuaca dan yang lainnya,nurhidayah yayah,5,2024-10-31 11:46:22,InfoBMKG,Positif
Bagus cuma kadang eror kenapa ya apakah hp saya yg kentang,Pras Aww,3,2024-10-31 11:31:08,InfoBMKG,Netral
Bagud,Ronald P.Pallangan.S,5,2024-10-31 10:16:32,InfoBMKG,Positif
Stuck di display putih tengahnya hanya ada logo BMKG nya saja. Sudah semingguan dipantau dan tetap sama. Auto uninstall.,Muhammad Iqbal,1,2024-10-31 08:10:00,InfoBMKG,Negatif
Ok,David Que (Opotque71),5,2024-10-31 02:06:02,InfoBMKG,Positif
tolong tambahin mode gelap dong,Rizal Jr,4,2024-10-31 00:57:45,InfoBMKG,Positif
Sangat membantu kewaspadaan saat sebelum terjadi hujan,Arif Ramadhan,5,2024-10-30 23:33:21,InfoBMKG,Positif
Bagus aplikasinya sangat membantu.,Agung “Agung Anom mangku” Anom,4,2024-10-30 22:51:34,InfoBMKG,Positif
Tolong tampilkan juga hilal setiap bulan. Suoaya nggak ribut terus saat idul fitri sama awal ramadhan terus,Khotib Ahmad,5,2024-10-30 22:23:20,InfoBMKG,Positif
"Udah abis gempa baru dikasi tau ada gempa, ini aplikasi peringatan gempa apa perayaan gempa ?",hendra noor,1,2024-10-30 21:19:55,InfoBMKG,Negatif
Bermanfaat sekali untuk mendapat informasi👍👍👍,BAGUS Official_one,5,2024-10-30 19:18:47,InfoBMKG,Positif
Ok mntap,Indonesia177 Keren,5,2024-10-30 17:33:45,InfoBMKG,Positif
Sangat membantu dalam saya menjalankan tugas,Alim Jaka Prayitno,5,2024-10-30 17:15:57,InfoBMKG,Positif
Sangat bermanfaat,Oman Syaefurrochman,5,2024-10-30 17:01:20,InfoBMKG,Positif
𝗔𝗸𝘂 𝘀𝗮𝗻𝗴𝗮𝘁 𝗺𝗲𝗻𝘆𝘂𝗸𝗮𝗶 𝗮𝗽𝗹𝗶𝗸𝗮𝘀𝗶 𝗶𝗻𝗳𝗼𝗿𝗺𝗮𝘀𝗶 𝗯𝗲𝗻𝗰𝗮𝗻𝗮 𝗮𝗹𝗮𝗺 indonesia,Bang Ully'69,5,2024-10-30 11:53:07,InfoBMKG,Positif
membantu untuk beraktifitas kerja dilapangan,hendra hakam,5,2024-10-30 11:14:35,InfoBMKG,Positif
Sekarang lahi hujan,Sarno Wiyoto,5,2024-10-30 09:44:16,InfoBMKG,Positif
🥰,Rhenatachi,5,2024-10-30 05:18:07,InfoBMKG,Positif
sangat bermanfaat untuk kami petani,yusuf benu,5,2024-10-30 05:15:09,InfoBMKG,Positif
"Alhamdulilla membantu, saya sarankan lebih akurat lagi",Hasan Rosidi,4,2024-10-30 04:55:18,InfoBMKG,Positif
ok,Siti Sundari,5,2024-10-30 04:39:32,InfoBMKG,Positif
"Sangat penting ,kita bida tahu keadaan alam kedepannya...trims",Taufik Helmi,5,2024-10-30 04:21:49,InfoBMKG,Positif
Bagus aplikasinya,Ashar Bonea,4,2024-10-30 04:21:41,InfoBMKG,Positif
sy berharap ada mode gelap di update berikutnya. silau sekali dengan latar putih,Nn,4,2024-10-30 03:59:01,InfoBMKG,Positif
Maaf kak bmkg anda telat memberikan informasi tentang bencana alam,Irene regina Syahda,1,2024-10-30 03:55:40,InfoBMKG,Negatif
Nice aplikasi,Pariaji,5,2024-10-30 02:35:54,InfoBMKG,Positif
Infonya kok tidak up date ya,pin rosiana,4,2024-10-30 02:06:04,InfoBMKG,Positif
Informasi suhu cuaca real-time tidak serasi dengan sumber lainnya,Auffa 1102 (Mr. Auf),3,2024-10-29 13:01:15,InfoBMKG,Netral
I love BMKG Gowa,Alicia Elizabeth,5,2024-10-28 11:03:56,InfoBMKG,Positif
"Cukup akurat.. Tapi tolong untuk cuaca di bagusin interfacenya.. Dlm bentuk tabel ke bawah aja lbh bgs,dan di beri tanggal nya jg.. Cape saya scroll2 nya untuk liat cuaca ampe 1-2 minggu ke dpn..semoga di respon dan di perbaiki.. Terima kasih",Bong Paulus,5,2024-10-28 08:29:53,InfoBMKG,Positif
Keren banget,HARITS DITYA,5,2024-10-27 10:49:07,InfoBMKG,Positif
Semangat terus BMKG dalam mengembangkan aplikasi nya. Satu-satunya aplikasi pemerintah yang saya sukai,pejuang Iklim,5,2024-10-26 06:02:05,InfoBMKG,Positif
"Overall aplikasinya sudah bagus, tetapi tolong dong min untuk notifikasi gempa di munculkan saat gempa yang letak lokasinya dekat dengan lokasi user jangan munculkan setiap ada gempa yang jarak lokasinya jauh dari user. rada risih soalnya",Wamar Tyno,2,2024-10-24 17:34:40,InfoBMKG,Negatif
"Sangat membantu, saat ada gempa jadi tau dimana lokasi nya",Fogo12,5,2024-10-24 00:29:11,InfoBMKG,Positif
Just helpful,Daryanti 06,5,2024-10-23 21:24:40,InfoBMKG,Positif
Crash mulu appnya setidaknya ga terlalu up to date alrmnya aplikasinya yg bagus,ve n29,1,2024-10-23 05:22:28,InfoBMKG,Negatif
Prediksi cuaca tidak akurat..,chanel platp,1,2024-10-22 13:53:42,InfoBMKG,Negatif
Pengiriman Informasi gempa terlalu lambat,AGUS TF,3,2024-10-21 10:21:11,InfoBMKG,Netral
Bagus aku suka,Ridwan lumempow Syarif lumempow,5,2024-10-21 09:31:09,InfoBMKG,Positif
Mantap,Anakjepara jepara,5,2024-10-20 09:41:14,InfoBMKG,Positif
"S A R A N : TAMBAHKAN FENOMENA ALAM YANG AKAN TERJADI DI INDOESIA , MISALNYA KOMET , METEOR , GERHANA BULAN , GERHANA MATAHARI , DLL.. DI INFOKAN 1 ATAU 2 MINGGU SEBELUM HARI H . AGAR BANYAK PENIKMAT FENOMENA ALAM DI INDONESIA ..",Mandala Wangi,5,2024-10-20 00:25:36,InfoBMKG,Positif
tolong buatin widget sekalian min,Andi Kurniawan,5,2024-10-19 16:27:43,InfoBMKG,Positif
Masih blm ada perbaikan. Ada notif gempa waktu di klik gak kebuka di aplikasinya. Setelah update juga gak ada perubahan.,Pengguna Google,4,2024-10-19 00:32:26,InfoBMKG,Positif
kesini karena rekomendasi mimin shina,zanac x,5,2024-10-18 09:26:45,InfoBMKG,Positif
Mohon tambahin fitur widget biar masyarakat tau posisi cuaca lokasi sekitar...,yusuf findi guno.,4,2024-10-16 03:44:42,InfoBMKG,Positif
👍💯,supriyanto supri,5,2024-10-15 08:00:06,InfoBMKG,Positif
Sudah oke,Asis,5,2024-10-14 10:27:03,InfoBMKG,Positif
Bnkg emang sanggat bagus sekali,renaldo,5,2024-10-14 08:20:54,InfoBMKG,Positif
Tampilan di tablet untuk kotak cuaca per jam suka terpotong.,Eni Susanti,4,2024-10-13 01:06:55,InfoBMKG,Positif
Ok!!,Wasitah Sita,5,2024-10-12 10:04:29,InfoBMKG,Positif
ok,mbah kadir,5,2024-10-10 14:35:00,InfoBMKG,Positif
Sangat bermanfaat,Ayah Yasin Familly,5,2024-10-10 10:19:19,InfoBMKG,Positif
"Pendeteksi Gempa Bumi Dan Peringatan Tsunami, Peringatan Gunung Meletus, Informasi Cuaca Akurat,serta Perubahan Yang terbaik untuk latar belakang tersebut..",Jonathan F Traveller,4,2024-10-09 23:41:47,InfoBMKG,Positif
"Gak guna sih ini, bagus punya google",Teguh Pamungkas,1,2024-10-09 22:45:44,InfoBMKG,Negatif
"bagus, mengtahui sangat berfungsi dengan baik",muhammad risandi,4,2024-10-09 12:18:21,InfoBMKG,Positif
Bagus dan akurat,Hadiwijaya Azmatkhan,5,2024-10-09 11:50:14,InfoBMKG,Positif
Aplikasinya sangat membantu,Muhammad Rasyid,5,2024-10-09 10:54:08,InfoBMKG,Positif
Tingkatkan akurasi dan sensitifitasnya,Maryadi Raharjo,4,2024-10-09 03:45:00,InfoBMKG,Positif
Sayang aplikasinya telat update.kalo ada gempa,DLA visual,1,2024-10-08 14:20:52,InfoBMKG,Negatif
mantap,Baginda harun daulay,5,2024-10-08 13:40:15,InfoBMKG,Positif
mantab 👍😁,Almer Buwono,5,2024-10-07 11:12:35,InfoBMKG,Positif
sangat kurang akurat,Mochamad Alfan Fathoni,2,2024-10-07 04:44:27,InfoBMKG,Negatif
Terima kasih.Sangat membantu masyarakat,Yudhis Wahyudhi,5,2024-10-06 00:25:26,InfoBMKG,Positif
bagus lengkap akurat 👍👍👍,Bay Ali Una Kia batam kepri,5,2024-10-05 22:25:38,InfoBMKG,Positif
nice,Muhammad Syarif,5,2024-10-05 21:48:27,InfoBMKG,Positif
Untuk melihat jam pasang atau surutnya air laut saya masih belum menemukannya.,ENDEL AJA,4,2024-10-05 06:57:39,InfoBMKG,Positif
Perkiraan cuacanya ngawur banget. SDM dan teknologinya katrok.,Haidar Ali Mahmud Desky,1,2024-10-04 20:04:35,InfoBMKG,Negatif
sangat cocok,Abahe Andyka,4,2024-10-04 15:39:38,InfoBMKG,Positif
Good,Steeven Glenn,5,2024-10-04 12:26:11,InfoBMKG,Positif
"kak aplikasi punya saya kepencet bahasa inggris, mau di kembalikan bahasa Indonesia tidak bisa, mohon petunjuk nya biar bisa bahasa Indonesia lagi. nanti kalau sudah bisa bahasa Indonesia saya ganti rating, terimakasih.",Farid Muhlisin,3,2024-10-04 04:46:31,InfoBMKG,Netral
Kenapa info kualitas udara di wilayah NTT tida yah?.,Gregorius Manto,3,2024-10-02 08:04:28,InfoBMKG,Netral
Sangat membantu informasi,Nafis Mulyana,4,2024-10-02 03:05:04,InfoBMKG,Positif
bagusb,Dwi Mami,5,2024-10-01 14:32:50,InfoBMKG,Positif
Terimakasih BMKG apk ini sangat membantu🙏🙏,Unknown 1,5,2024-10-01 10:52:01,InfoBMKG,Positif
Oya sebelum nya saya nyuwun ngampunten geh mas saya belum dapat bantuan dari bansos atas nama pak budi prasetyo di jragung jogotirto berbah sleman rt 05 rw 02 kelurahan jogotirto berbah sleman kecamatan nya berbah sleman yogyakarta mas Terima kasih mas,Budi Prasetiyo,5,2024-10-01 03:15:40,InfoBMKG,Positif
membantu banget buat saya yang mau mantau daerah gunung yang mau saya daki,Amin Rizal,5,2024-09-30 05:17:05,InfoBMKG,Positif
Sering tepat prakiraan cuaca.,WIDODO TANPA NAMA BELAKANG,5,2024-09-29 18:49:32,InfoBMKG,Positif
Sangat akurat dan membantu,Veronika Irianas,5,2024-09-28 07:24:05,InfoBMKG,Positif
"notifikasinya gk akurat gempa udah selesai, ini notfikasi peringatan gempa baru datang. Hadeh 😒",OMI MOZA,1,2024-09-26 08:19:50,InfoBMKG,Negatif
Sangat membantu,Owenwen Wen,5,2024-09-26 04:50:07,InfoBMKG,Positif
"Kenapa notifikasi gempa bumi tidak aktif lagi saat ini...saya download aplikasi ini buat itu...agar saya merasa tenang, karena saya punya keluarga di daerah rawan gempa/tsunami (Padang)...",Dilla Sweetheart,4,2024-09-26 04:20:01,InfoBMKG,Positif
Menu Radar di apl nya gak bisa kebuka 😐😓,Firo AlHadi,3,2024-09-25 18:45:57,InfoBMKG,Netral
Saya langsung kasih 5 walaupun mau coba...,Sahi Din,5,2024-09-25 13:49:54,InfoBMKG,Positif
intinya berguna,Oka Pranata,5,2024-09-25 09:19:23,InfoBMKG,Positif
"Tolong tambahkan banyak kota dibagian kualitas udara, karena bagian itu masih sedikit, atau tidak ada pilihan wilayah pengguna. Dan juga tambah fitur zoom gambar dibagian peringatan cuaca. Terima kasih.",Dhimas Cakra,1,2024-09-25 07:01:35,InfoBMKG,Negatif
"Aplikasinya mengalami peningkatan pesat, baik dari tampilan maupun fiturnya",Dutta Apsari Araminta,5,2024-09-25 06:45:57,InfoBMKG,Positif
Baru coba,Adi Suryadi,5,2024-09-25 02:09:46,InfoBMKG,Positif
Good,Vito Yanuar,5,2024-09-24 11:57:46,InfoBMKG,Positif
"Ngasih info selalu telat, baru kejadian dikasih tau, seharusnya sebelum kejadian kasih tau.. contoh saat hujan",Indra,2,2024-09-24 10:54:45,InfoBMKG,Negatif
"Notif tdk akurat..cuaca oanas,masa notifnya badai akan dtg lalu hujan..nah panas sekali dimakassar,rusak kali alat kalian",Wave Alfian,4,2024-09-24 04:54:48,InfoBMKG,Positif
"Aplikasinya bagus, lebih bagus lagi di kasih peringatan dini seperti di jepang",anita lutf,5,2024-09-24 03:44:37,InfoBMKG,Positif
Terbaik,Heri Bogey,5,2024-09-24 03:24:55,InfoBMKG,Positif
"Aplikasi ini perfect, dengan fitur yg mudah dipahami dan memberikan informasi yg kompleks. Perkembangan yg keren dari versi sebelumnya",Nva Suryadila,5,2024-09-24 01:18:37,InfoBMKG,Positif
Sangat mendukung,Umar S. Etango,5,2024-09-24 00:17:52,InfoBMKG,Positif
"diprediksi hujan berpetir, hujan nggak ada petir nggak ada ... prediksi cerah berawan malahan turun hujan",Asep Dodi,1,2024-09-23 13:16:46,InfoBMKG,Negatif
Sangat membantu,Yayan Rusyana,5,2024-09-23 12:37:52,InfoBMKG,Positif
Masih mencoba. Smoga bagus.,Wawas Budiantoro,4,2024-09-23 11:31:48,InfoBMKG,Positif
"Bagus Tapi kalau ada gempa 3 SR, 4 SR kok nggak muncul di notif ya. Kenapa ya",Via.S,4,2024-09-22 13:30:15,InfoBMKG,Positif
Baru coba,Adi Suryadi,5,2024-09-22 05:42:40,InfoBMKG,Positif
Bmkg knp ya sekarang kalau ada gempa tidak ada pmberitahuan nya,Han Hanna,3,2024-09-21 14:01:55,InfoBMKG,Netral
mantap untuk informasi cuaca,Petrus Ri,4,2024-09-21 13:05:19,InfoBMKG,Positif
Aplikasi setelah bencana kalau ini bukan aplikasi sebelum bencana.. 1 menit setelah gempa aja ga ada notif dimana letak gempa belum Ter update...,PDC Banyuwangi,1,2024-09-21 05:28:04,InfoBMKG,Negatif
luar biasa,Paulus wignyohadi,5,2024-09-20 23:48:17,InfoBMKG,Positif
Payah ada gempa tapi ga ada notif nya.,Ahmad Majisuka,1,2024-09-20 23:39:04,InfoBMKG,Negatif
Update informasi tentang gempa terkini sangat amat lama. Bahkan tadi sudah 10 menit belum ada informasi tentang gempa yang baru saja terjadi.,Melia Wulandari,1,2024-09-20 23:39:02,InfoBMKG,Negatif
Udah bagus tapi notifikasi gempanya lambat banget masuk 1 jam setelah gempa terjadi baru ada data kordinat masuk,I nyoman Astawan,3,2024-09-20 23:35:19,InfoBMKG,Netral
"Tidak update, padahal barusan ada gempa tpi tidak mncul",Vincent Paskalis,2,2024-09-20 23:34:41,InfoBMKG,Negatif
Tidak bisa kasih peringatan dini sebelum adanya gempa dan notifikasi gempa yang terjadi tidak up to date,Kasir Happy drink,1,2024-09-20 23:33:42,InfoBMKG,Negatif
Tidak update,Mahesa Putra,1,2024-09-20 23:33:31,InfoBMKG,Negatif
Kenapa baru² ini tidak ada notifikasi adanya gempa? Mohon diperbaiki kedepannya.. Terimakasih,None none,4,2024-09-20 18:28:00,InfoBMKG,Positif
Bmkg emang the best,putra Ganteng,5,2024-09-20 12:55:26,InfoBMKG,Positif
Mantap,Ridwan Syah,5,2024-09-20 00:20:05,InfoBMKG,Positif
Ya demi keselamatan lah,RaynSM,5,2024-09-19 17:32:55,InfoBMKG,Positif
Mantap sangat membantu👌,Dony Czrone,5,2024-09-19 07:34:42,InfoBMKG,Positif
TOLONG PERBAIKI TIDAK ADA LAGI NOTIFIKASI GEMPA,Rik Bro1,1,2024-09-18 15:34:22,InfoBMKG,Negatif
"Menurut saya aplikasi ini sangat bagus banget dan sangat membantu banget karena dengan aplikasi ini kita bisa mengetahui prakiraan cuaca dan prakiraan bencana walaupun hanya Allah yang tahu dan manusia hanya bisa memperkirakan saja dan tetap waspada tetapi dengan aplikasi ini manusia semakin tahu informasi walaupun hanya memperkirakan saja.★5 untuk aplikasi ini.SEMANGAT TERUS ""BMKG""!!!",Muhammad Rafi,5,2024-09-18 14:18:55,InfoBMKG,Positif
Alhamdulillah sangat bermanfaat,Imam Safi'i,5,2024-09-18 13:49:49,InfoBMKG,Positif
Terimakasih.semoga memberi manfaat sesuai yang di butuhkan,Ali Munir,5,2024-09-18 10:56:34,InfoBMKG,Positif
Bagus dan bermanfaat,Putri Seema,5,2024-09-18 09:03:22,InfoBMKG,Positif
Sangat membantu,Zacky Zack,5,2024-09-18 06:51:15,InfoBMKG,Positif
Sangat membantu,Hendi Hendi,5,2024-09-18 03:37:00,InfoBMKG,Positif
Tidak sesuai dengan keadaan. Di apk berawan aslinya hujan.,Mhd. Khoirun Nafis Srg,1,2024-09-17 23:20:42,InfoBMKG,Negatif
"bgus aplikasi nya, semoga bisa diandalkan kayak aplikasi "" peringatan dini seperti di jepang, untuk yg kasih masukan untuk menambahkan live chat di aplikasi, atau komentar gitu, setuju sih saya.",Bismi m. Amanu,5,2024-09-17 06:41:34,InfoBMKG,Positif
"Makin sini notif gempa makin ga ada, padahal hari ini gempa sukabumi dan deket ke aku. Tapi ga ada notif sama sekali.",Suci Humayroh,3,2024-09-16 12:24:33,InfoBMKG,Netral
"Ckp membantu, semoga user interface experience nya bs ditingkatkan lg sehingga lebih user friendly...bravo BMKG",teguh pebtiadi,4,2024-09-16 12:10:03,InfoBMKG,Positif
Notif gempa tidak ada ?,Deni Kurniawan,3,2024-09-16 02:50:02,InfoBMKG,Netral
Baik,Alfian AR (Makjaal),5,2024-09-16 02:27:37,InfoBMKG,Positif
Sangat membantu,sang Oprator,5,2024-09-16 01:50:35,InfoBMKG,Positif
Sangat bermanfaat,Bang Arif,5,2024-09-15 18:10:50,InfoBMKG,Positif
Ok,Asep Dany hidayat,5,2024-09-15 16:47:34,InfoBMKG,Positif
Ini kenapa sudah 1bulan notif bmkg ga muncul ya kalo tidak dibuka ke apknya . Biasanya ada terus lho min. Dan ket sett apk itu on notif,Haiko Dv,5,2024-09-15 11:01:37,InfoBMKG,Positif
Admin kenapa tidak notifikasi gempa seperti dulu? Tolong kembalikan notif setiap ada gempa,alparizi alparez,5,2024-09-15 05:34:57,InfoBMKG,Positif
pas sebelum gempa palu saya download ini pas saya liat mengtudo sangat sangat besar makasih BMKG anda telah membantu saya dan keluarga saya makasih,zainah alaydrus,5,2024-09-14 11:11:00,InfoBMKG,Positif
Info Penting harus punya 🙂,johny kelana,5,2024-09-14 10:01:01,InfoBMKG,Positif
"Gak ada kualitas udara di jawa tengah,jawa barat, jawa timur tolong di perbaiki aplikasi bmkg sudah bagus tolong di perbaiki dong pemerintah indonesia",Gengong Oy,5,2024-09-13 15:35:28,InfoBMKG,Positif
Bagus,Eko Prasetyo,4,2024-09-12 11:12:56,InfoBMKG,Positif
"Terkadang d aplikasi ini tidak sesuai dengan d aplikasi, aplikasi timur tapi cuaca menunjukan ke salatan MTA arah angin.....tolong d perbaiki lagi",RIZKI Aditya,1,2024-09-12 02:49:41,InfoBMKG,Negatif
Sangat baik,Davino Andhika Permana,5,2024-09-11 20:17:25,InfoBMKG,Positif
Mending pemerintah kerjasama dgn negara jepang tentang teknologi nya agar sekian detik sbelum terjadinya gempa kita tidak terlalu kaget dgn adanya gempa,Zidan Zidan,1,2024-09-11 18:13:13,InfoBMKG,Negatif
"Tolong diperbaiki, pemberitahuan info gempa tidak muncul... padahal handphone sudah sy reset pengaturan pabrik",Rik Bro,1,2024-09-11 12:31:07,InfoBMKG,Negatif
Sangat membantu,Djemko Rawung,5,2024-09-11 02:29:00,InfoBMKG,Positif
tidak ada widget update cuaca 24 jam! kalah sama aplikasi sejenis! harusnya bmkg mengadakan widget cuaca 24 jam agar kita tidak perlu masuk ke aplikasinya jika ingin update cuaca.!,Robert Anthony,1,2024-09-11 01:12:48,InfoBMKG,Negatif
"Desain simple dan bagus, mudah di pahami berserta memberi glorasium untuk memahami istilah yang masih asing di orang awam. Saya berterima kasih pada app ini...",Ehud Eduard06,5,2024-09-10 15:26:44,InfoBMKG,Positif
Punya belajar apk my shake penjelasan apk BMKG sebelum jepang gempa besar teknologi 1 Januari 2024,Fernandez SA,1,2024-09-10 09:36:44,InfoBMKG,Negatif
"Kadang heran ini bmkg ya,, prakiran atau gimna si,, sudah terjadi baru kasih info,, seperti hujan saja hujan sudah reda keluar peringatan info terkini katanya akan di guyur hujan, heyyy saya sudah tau hujan nya juga sudah reda",kHaRiSmA LoVE,3,2024-09-10 06:01:31,InfoBMKG,Netral
